country,author,date_of_publication,title_3,study_design,study_timeframe,sources_of_data,study_setting_location,hospital_service_coverage_area,bed_capacity_number,operating_rooms_number,burn_unit_availability_yes_no,anesthesia_availability_yes_no,ventilator_availability_yes_no,blood_bank_availability_yes_no,laboratory_services_available_yes_no,imaging_services_available_yes_no,sterilization_facilities_yes_no,surveillance_system_yes_no,surveillance_system_details,health_information_system_yes_no,health_information_system_details,surgeons_number,surgeons_description,anesthetists_number,anesthetists_description,nurses_number,nurses_description,other_healthcare_providers_number,other_healthcare_providers_description,affiliation_of_surgeons_other_healthcare_providers_number,affiliation_of_surgeons_other_healthcare_providers_description,sample_size,prevalence_rate,incidence_rate,disability_adjusted_life_years_dal_ys,cost_to_individuals_cost_in_usd_or_other_currency,cost_to_government_cost_in_usd_or_other_currency
Nigeria,"Belie O., Ugburo A.O., Mofikoya B.O.",19-Aug,Demographic and clinical characteristics of keloids in an urban center in Sub-Sahara Africa,Cross sectional study,06/2015 - 05/2017,primary data collection,"Plastic Surgery Clinic of Lagos University Teaching Hospital, Lagos, Nigeria (Burns and Plastic Surgery outpatient clinic)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159 patients with 224 keloids,NA,NA,NA,NA,NA
"Ghana, Nigeria, Uganda, Tanzania, Zambia, Malawi, Liberia, Ethiopia, Zimbabwe, Kenya, Lesotho","Botman M., Beijneveld J.A., Negenborn V.L., et al.",19-Jul,Surgical burn care in sub-saharan africa: A systematic review,Systematic review,06/2016; 05/2017; 02/2018,"PubMed, Embase and the Cochrane Library (via Wiley)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA
Uganda,"Bearden A., Fuller A.T., Butler E.K., et al.",18-Nov,Rural and urban differences in treatment status among children with surgical conditions in Uganda,"Other: cross-sectional, population-based survey",unspecified,primary data collection (population-based community survey: Surgeons OverSeas Assessment of Surgical Need (SOSAS)),"105 enumeration areas, clustered by geographic sub-region across Uganda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305 children with a surgical condition,NA,NA,NA,NA,NA
"22 African countries (Morocco, Tunisia, Egypt, Sierra Leone, Liberia, Ivory Coast, Nigeria, Ghana, Liberia, Cameroon, South Sudan, Ethiopia, Somalia, Kenya, DRC, Uganda, Rwanda, Burundi, Tanzania, Zambia, Malawi, South Africa)","Bbaale D., Mohr C., Lindert J., et al.",24-Feb,Barriers and prospects for skin grafting in burn treatment across African countries,Cross sectional study,06/2022 - 10/2022,"Primary data collection through a web-based survey.







","Tertiary health facilities, secondary hospitals, and primary hospitals. Hospitals are mostly government owned, followed by faith-based hospitals, private hospitals, and other non-governmental organizations (NGOs).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9 specialists in pediatric surgery; 8 specialists in plastic surgery,"""9 (11.1%) are specialists in pediatric surgery and general surgery each, and 8 (9.9%) in plastic surgery.""",NA,NA,10,"""10 (12.3%) nurses participated.""",59 medical doctors; 11 clinical officers,NA,NA,NA,81 health care professionals answered the online survey. (Completed questionnaires were retrieved from 22 African countries).,NA,NA,NA,NA,NA
Mozambique,"Barba P., Neubauer D.C., Cossa M., et al.",22-Aug,Prevalence and Severity of Burn Scars in Rural Mozambique,Cross sectional study,09/2012 - 06/2013,primary data collection,Community level.,Rural and regional coverage,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Serving 29.5 million people,NA,NA,NA,NA,NA,NA,NA,NA,370,NA,NA,NA,NA,NA
Uganda,"Balumuka D.D., Galiwango G.W., Alenyo R.",15-Sep,Recurrence of post burn contractures of the elbow and shoulder joints: experience from a Ugandan hospital,Other: prospective study,03/2012 - 11/2014,primary data collection (coded questionnaire),Plastic Surgery department of the Comprehensive Rehabilitation Services Uganda (CoRSU) hospital,"""CoRSU provides services to patients from the neighbouring towns and also the neighbouring countries like South Sudan, Kenya, Tanzania and D.R. Congo.""",84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58 patients,NA,"Incidence of recurrence of PBC
Of 58 participants, 30 patients (52 %) had a recurrence of the PBC

frequency of recurrence of PBCs of the shoulder joint = 67%; 
frequency of recurrence of PBCs of the elbow joint = 27 %;
frequency of recurrence of PBCs among participants who had a combination of
elbow and shoulder joint PBC = 100 %

Risk factors
flame as the cause of the initial burn: p = 0.007;
duration of post burn contracture of more than one year: p = 0.018;  
incomplete release of post burn contracture: p = 0.002",NA,NA,NA
Sudan,"Bakhiet M.Y., Koko M.B.A., Gismalla M.D., et al.",23-Mar,Patterns and management outcome of paediatrics burn in a general surgical department: experience from a secondary referral hospital,Other: retrospective case series,2016 - 2019,medical records,"Elobeid Teaching Hospital, Elobeid, Sudan (secondary referral hospital in Kordofan State)",NA,NA,"unspecified number (operation complex with an Intensive Care Department""",No,NA,NA,yes,yes,yes,NA,NA,NA,Yes,medical records,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85 patients,NA,NA,NA,NA,NA
Rwanda,"Bagahirwa I., Mukeshimana M., Cherian T., et al.",20-Sep,Presentation of Pediatric Unintentional Injuries at Rural Hospitals in Rwanda: A Retrospective Study,Other: retrospective cross-sectional study,01/2017 - 12/2017,medical records (patient medical charts),"""three district hospitals in rural Rwanda: Butaro District Hospital, located in the Northern Province, and Kirehe and Rwinkwavu District Hospitals in the Eastern Province""","""Together, the three hospitals serve a population of approximately 800,000 people.""",NA,NA,NA,limited,NA,NA,NA,limited (X-ray),NA,NA,NA,yes,patient medical charts,NA,NA,NA,NA,NA,NA,"general practitioner = 11(80.9%);
specialist = 6(4.3%);
other = 21(14.9%)","""General practitioners were the main cadre of health care providers who performed surgical services (n = 114, 80.9%).""",NA,NA,449 children,NA,NA,NA,NA,NA
Nigeria,"Ayoade B.A., Thanni L.O., Shonoiki-Oladipupo O.",12-Dec,Mortality Pattern in Surgical Wards of a University Teaching Hospital in Southwest Nigeria: A Review,Other: Retrospective observational study,01/2006 - 12/2010,Medical records and  hospital registries,Olabisi Onabanjo Teaching Hospital Sagamu (tertiary care facility),NA,"main hospital = 420 total beds;
surgical patients = 80 beds;
ICU = 4 beds",3,No,NA,NA,NA,NA,NA,NA,NA,NA,yes,"hospital admission and discharge registers in the medical records department, surgical theater, surgical wards, and ICU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170 patients with case notes,NA,NA,NA,NA,NA
Rwanda,"Atijosan O., Simms V., Kupe H., et al.",9-Dec,The orthopaedic needs of children in Rwanda: results from a national survey and orthopaedic service implications,Cross sectional study,10/2005 - 12/2005,primary data collection (data from the national survey of MSI in Rwanda),community level across Rwanda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3236 children screened,prevalence of MSI in the 16 and under age group = 2.58% (CI 2.06-3.10),NA,NA,NA,NA
Nigeria,"Asuquo M.E., Ekpo R., Ngim O.",8-Jul,"A prospective study of burns trauma in children in the University of Calabar Teaching Hospital, Calabar, south-south Nigeria",Other: prospective study,02/2005 - 01/2008,primary data collection (questionnaire),University of Calabar Teaching Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56 patients,NA,NA,NA,NA,NA
Ethiopia,"Asefa L., Abebe M.W., Negussie A.G.",24-Feb,PATTERNS AND OUTCOMES OF PEDIATRIC BURN INJURIES IN A TERTIARY HOSPITAL's BURN UNIT,Other: retrospective cross-sectional study,09/2016 - 08/2020,medical records (patient charts of all paediatric burn pa­tients admitted to AaBET burn unit),"Addis Ababa Burn, Emergency, and Trauma Hospital (public trauma center)","""It is one of the first trauma centers with a burn unit in the country, serving over 12 million people.""",">200 beds for Emergency and Critical care, Orthopaedic Surgery, General surgery, Neurosurgery, and Plastic and Reconstructive  surgery Services;
Burn Unit = 19 beds",NA,yes,NA,NA,limited,NA,NA,NA,NA,NA,yes,medical records of paediatric burn pa­tients admitted to AaBET burn unit,plastic surgeons = 5,"""The 19 bed burn unit is run by the Plastic and Reconstructive Surgery Unit and its five Plastic Surgeons.""",NA,NA,NA,NA,NA,NA,NA,NA,218 patients,NA,NA,NA,NA,NA
Ghana,"Aryee G., Aborbi V.M., Essuman R., et al.",24-May,Predictors of household direct cost of burn injury in adult patients at a tertiary healthcare facility in Ghana: an analytical cross-sectional study in Korle-Bu Teaching Hospital,Cross sectional study,01/2020 - 10/2020,"primary data collection, medical records, registries",Burns Centre of the Korle-Bu Teaching Hospital (KBTH),"average of 29,757 
patients monthly.","2,000",NA,*Yes,NA,NA,NA,NA,NA,NA,NA,NA,yes,"Data of the direct 
medical cost of treatment was obtained from 
the accounts office of the Burns Centre of KBTH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,"mean total direct household costs = GHS 22,333.15 (3,897.58 USD)
mean cost of direct medical burn treatment = GHS 21,061.23 (3,675.61 USD)
mean cost of direct non-medical burn treatment = GHS 1,271.92 (221.98 USD)",NA
Ghana,Amponsah G.,10-Sep,Challenges of anaesthesia in the management of the surgical neonates in Africa,Other: Retrospective data analysis,01/2006 - 06/2008,medical records,"Korle Bu Teaching Hospital (KBTH), Accra",NA,NA,NA,NA,Yes,Lacking,NA,Yes,Yes,NA,NA,NA,NA,NA,4,"""The hospital currently has four paediatric surgeons at post.""",NA,NA,NA,NA,NA,NA,NA,NA,278 patients,NA,NA,NA,NA,NA
Togo,"Amouzou K.S., Kouevi-Koko T.E., Egbohou P., et al.",19-Jul,Epidemiology and outcomes of in-hospital acute burn-patients in Togo: A retrospective analysis,Other: Retrospective analysis,01/2007 - 12/2013,Medical records,"Sylvanus Olympio Teaching Hospital (SOTH), a tertiary teaching hospital in Lomé, Togo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211 patients,NA,"""Over the 7 years of the study period, of the 88,712 patients received in the SED, 1,843 (2.1%) were burns patients.""",NA,NA,NA
"Nigeria
","Amirtharajah M., Olaleye M., Oluyide B., et al.",24-Apr,"Prospective Outcomes of Noma Facial Reconstructive Surgery in Sokoto, Nigeria",Other: prospective case series/cohort,05/2018 - 05/2019,primary data collection,"Noma Children’s Hospital (NCH) in Sokoto State, Nigeria (a Nigerian Ministry of Health District Level Hospital)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49 patients,NA,NA,NA,NA,NA
Nigeria,"Amaefule K.E., Dahiru I.L., Sule U.M., et al.",19-Feb,"Trauma intensive care in a terror-ravaged, resource-constrained setting: Are we prepared for the emerging challenge?",Other: retrospective cohort study,06/2009 - 05/2015,medical records (admission register in the ICU of Ahmadu Bello University Teaching Hospital),"Intensive Care Unit of Ahmadu Bello University Teaching Hospital, Zaria, North-West Nigeria",NA,"main hospital = 1000;
multi-dsciplinary ICU = 8 (3 beds dedicated to burns patients care)",NA,No,NA,yes,NA,yes,yes,NA,NA,NA,yes,admission register; case notes,"plastic/reconstruction surgeons = 2;
maxillofacial surgeons = 4;
consultant orthopaedic surgeon = 1;
orthopaedic surgeon = 6;
medical officers and resident doctors = multiple (unspecified number);
general surgeons = 7;
cardio-thoracic surgeons = 2;
urologists = 4;
neurosurgeon = 1


","""Clinically, it is headed by a consultant orthopaedic surgeon and staffed by medical officers and resident doctors from various clinical specialties on their emergency medicine rotation (each taking 24-h calls for their respective specialties)."";
""Instead there are seven general surgeons with individual interests ranging from gastro-intestinal, breast and endocrine, hepatobiliary surgery and surgical oncology."";
""In addition there are six orthopaedic surgeons, two plastic/reconstruction surgeons, two cardio-thoracic surgeons, four urologists, four maxillofacial surgeons, and one neurosurgeon.""",NA,NA,emergency care trained nurses = 2,"""Nursing-wise, there are only two emergency care trained nurses amongst the ED nursing staff who run 6-h shift duties for morning and afternoon shift duties, and 12-h night shift duty. """,NA,NA,NA,NA,175 trauma admissions admitted,NA,NA,NA,NA,NA
Mozambique,"Amado V., Martins D.B., Karan A., et al.",2017,Global general pediatric surgery partnership: The UCLA–Mozambique experience,Other: Mixed- methods approach,2010 - 2015,"Primary data collection, review of admission and operative logbooks",Hospital Central Maputo (HCM),NA,"Total = 1500
Peadiatrics = 300
Surgical = 32",1,NA,Yes,Yes,NA,Yes,Yes,NA,No,"""No formal adult or pediatric trauma system exists because of resource shortage. Efforts are being made to establish a trauma registry and a prehospital transport system, and to improve training in the delivery of trauma care.""",Yes,"""Discharge diagnosis and operative case volume data were derived retrospectively from handwritten logbooks that often had missing data or entries that were illegible or difficult to interpret.""",2,"""Currently, there are only 2 native pediatric general surgeons in the country.""",NA,NA,3-Feb,"""There are only two or three nurses during the day and one nurse at night caring for 32 patients on the general pediatric surgery ward.""",63,"""Complementing this limited work force are an estimated 63 nonphysician surgeons (tecnicos).",NA,NA,"1153 patients
",NA,NA,NA,NA,NA
Uganda,"Alves K., Penny N., Kobusingye O., et al.",18-Mar,"Paediatric musculoskeletal disease in Kumi District, Uganda: a cross-sectional survey",Other: Retrospective cohort study,01/2013 - 12/2015,Clinic and outreach logbooks,"Kumi Hospital and outreach clinics in Kumi District, Uganda",Kumi District and surrounding catchment area,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"""All patient information was obtained from written logbooks. At both the hospital clinic and the outreach clinic, logbooks are used to register all patients.""",47 orthopedic surgeons in Uganda,"""Only 47 of these surgeons are orthopaedic surgeons for a country of over 41 million people.""",NA,NA,NA,NA,NA,NA,NA,"Kumi Hospital, NGOs, and mission hospitals",4852 children,Gluteal fibrosis: 28.3%; post-injection paralysis: 12.7%; infection: 10.5%,NA,"""Non-traumatic musculoskeletal disease is estimated to account for 6.8% of all DALYs lost with another 11% from traumatic injuries.""",NA,NA
Nigeria,"Alo C., Okedo-Alex I.N., Akamike I.C., et al.",2022,"Utilising community volunteers can increase the detection and referral of Buruli ulcer cases in endemic communities in Southeast, Nigeria",Other: Before-and-after intervention study,6-month intervention period,"Field data collection, questionnaires, hospital records","Ebonyi State, Nigeria (Afikpo North, Abakaliki, Ikwo LGAs)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Community-based surveillance via trained volunteers,Yes,"Integrated with National Tuberculosis, Leprosy and Buruli Ulcer Control Program (NTBLCP)",NA,NA,NA,NA,NA,NA,90 volunteers,Community health volunteers trained to detect and refer BU cases,NA,NA,131 patients,NA,NA,NA,NA,NA
Côte d’Ivoire (Ivory Coast),"Allah K.C., Yéo S., Kossoko H., et al.",12-Feb,[Keloid scars on black skin: myth or reality],Other: retrospective case series,1990 - 2011,Clinical records of patients treated between 1990 and 2011,CHU de Treichville hospital in Abidjan (plastic surgery and burn unit),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98 patients, 149 keloid lesions",NA,NA,NA,NA,NA
Sub-Saharan Africa,"Alkire B., Hughes C.D., Nash K., et al.",11-Mar,Potential economic benefit of cleft lip and palate repair in sub-Saharan Africa,Economic evaluation,2008,"""publicly available retrospective data""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HUMAN CAPITAL METHODOLOGY
If ALL 34,683 estimated cases treated: 
DALYs averted =  146,643 [3,1,0.04]

Without adjusting for age-weighing and discounting, treatment for ALL clefting (34,683 estimated cases): 
DALYS averted = 257,184 [0,0,0] 

Cleft lip alone: 
treating 18,918 cases --> DALYs averted = 45,896 [3,1,0.04]

Cleft palate alone:
treating 15,765 cases --> DALYs averted = 100,747 [3,1,0.04]

Cleft lip alone without adjusting for age-weighing and discounting:
DALYs averted = 80,493 [0,0,0] 

Cleft palate alone without adjusting for age-weighing and discounting:
DALYs averted = 176,692 [0,0,0]

--- 

VALUE OF A STATISTICAL LIFE-YEAR METHODOLOGY
If ALL 34,683 estimated cases treated: 
DALYs averted = 15,354 [3,1,B~]

Cleft lip alone: 
DALYs averted =  36,103 [3,1,B~]

Cleft palate alone:
DALYs averted = 79,251 [3,1,B~]",NA,NA
Ethiopia,"T.Y. Alemayehu, A.T. Boled, M.G. Taye, et al.",20-Feb,"Assessment of emergency and essential surgical service in primary hospitals of South Gondar zone, Amhara region, Ethiopia, 2019",Other: WHO tool for situational analysis to assess emergency and essential surgical care (capture health facility's capacity using survey),20-Feb,primary data collection (survey),primary hospitals (South Gondar zone),"Estimated population served:
- Addis zemen: 500,000
- Ebinat: 200,000
- Nefas mewcha: 240,000 
- Mekane eyesus: 263,143 
- Andabet: 142,290 
- Tach gayint: 150,000 
- Wogeda: 267,995","Number of beds:
- Addis zemen: 80
- Ebinat: 48
- Nefas mewcha: 30 
- Mekane eyesus: 40
- Andabet: 48 
- Tach gayint: 53 
- Wogeda: 53","Number of functioning operating rooms:
- Addis zemen: 2
- Ebinat: 1
- Nefas mewcha: 3 
- Mekane eyesus: 2
- Andabet: 2
- Tach gayint: 2
- Wogeda: 2",NA,Yes,NA,Yes,NA,Yes,NA,NA,NA,Yes,Medical records were available at all 7 hospitals,"2 (1 general physician performing surgery, 1 obstetrician)","""Two surgical specialists (i.e. one general surgeon and one obstetrician physicians with dedicated surgical training) were
identified.""",13 (clinical officer providing anesthesia),"""All of the anesthesia providers were non-physician.""",141,"""All most 83% of the staffs in the facilities were paramedics/midwives.""",14 (clinical officer providing surgery),"""All of the anesthesia providers were non-physician.""",NA,NA,7 hospitals,NA,NA,NA,NA,NA
Ethiopia,"Alemayehu S., Afera B., Kidanu K.,et al.",20-Feb,"Management Outcome of Burn Injury and Associated Factors among Hospitalized Children at Ayder Referral Hospital, Tigray, Ethiopia","Other: ""retrospective facility-based document
review analytical study design""",02/2016 - 06/2016,medical records,Referral Hospital,"""The burn unit of Ayder Referral Hospital is the only referral center in Tigray. Therefore, the patients presenting to this unit are generally from almost all regions of Tigray, at the crossroads between Afar and Amhara.""",500,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,""" Based on their patient’s med-ical record number, the children’s chart was traced. The
data collection process was carried out. Additional information of pediatric patients was collected from their register.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,382,NA,NA,NA,NA,NA
Uganda,"Albutt K., Drevin G., Yorlets R.R., et al.",19-Oct,'We are all serving the same Ugandans': A nationwide mixed-methods evaluation of private sector surgical capacity in Uganda,Other: Mixed-methods cross-sectional study,07/2017 - 10/2017,"Facility assessments, interviews, walk-throughs, operative logbooks",16 private and private-not-for-profit (PNFP) hospitals across Uganda,NA,"Median 177 beds (range 18–482)

Galilee Community General Hospital = 18; St. Francis Hospital Nsambya = 361; Paragon Hospital = 29; Lubaga Hospital = 240; Pope John XIII Aber Hospital = 178; St. Mary’s Lacor Hospital = 482; St. Luke’s Hospital = 220; Oriajini Hospital = 60; Ibanda Hospital = 176; Mutolere Hospital = 210; Mayanja Memorial Hospital = 100; Virika Hospital = 205; Kanginima Hospital = 25; Kumi Hospital = 300; Kamuli General Hospital = 160; Dabani Hospital = 80","Median 2 per facility

Galilee Community General Hospital = 1; St. Francis Hospital Nsambya = 1; Paragon Hospital = 1; Lubaga Hospital = 4; Pope John XIII Aber Hospital = 1; St. Mary’s Lacor Hospital = 6; St. Luke’s Hospital = 2; Oriajini Hospital = 1; Ibanda Hospital = 2; Mutolere Hospital = 2; Mayanja Memorial Hospital = 2; Virika Hospital = 2; Kanginima Hospital = 4; Kumi Hospital = 4; Kamuli General Hospital = 3; Dabani Hospital = 1",NA,Yes,Yes,No,Yes,Yes,Yes,NA,NA,NA,NA,Median 7 SOA physicians per facility,"“We are supposed to be having ten doctors ideally here, but we have only two medical officers and me... it’s an uphill task.”",4 hospitals (25%) had access to an anesthesiologist at least half the time; 13 hospitals (81.3%) had anesthetic officers available 24/7,The anaesthetist is not available at station.”; “We rely on anaesthetic officers... anesthesiologists are rare.”,unspecified,"“Patients recovered in the ward, theater, or adjacent areas, monitored by theater nurses.”",NA,"Includes finance officers, lab staff, and administrators; often involved in group interviews",NA,NA,16 hospitals; 22 interviews with 27 participants,NA,NA,NA,Not specified; out-of-pocket payments common,NA
Tanzania,"Albright P.D., Ali S.H., Jackson H., et al.",20-May,Delays to Surgery and Coronal Malalignment Are Associated with Reoperation after Open Tibia Fractures in Tanzania,Other: prospective study,12/2015 - 03/2017,obtained from study (randomized clinical trial),follow-up study from (randomized clinical trial) RCT comparing (intramedullary nailing) IMN with external fixation at a Tanzanian hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240 patients,NA,NA,"Association of patient demographic, perioperative, treatment characteristics with One-year Quality of Life (QoL) measured using ED-5D:
- Wound length greater than 10cm = -0.081 OR
- Extensive muscle loss = -0.133 OR
- Bone loss = -0.111 OR

Reoperation was independently associated with a worse 1-year EQ-5D (QoL)

""We also found that patients who presented with severe injuries involving bone loss, muscle loss, or having a wound length greater than 10 cm, or who experienced reoperation in the course of care, were more likely to experience poorer QoL after injury and treatment.""",NA,NA
Sub-Saharan Africa (multi-country overview),"Albertyn R., Bickler S.W., Rode H.",5-Dec,Paediatric burn injuries in Sub Saharan Africa-an overview,Other: Narrative literature review,Not specified,"Published literature, hospital records, epidemiological surveys",Multiple countries in Sub-Saharan Africa,"MALAWI
Queen Elizabeth Central Hospital, Blantyre: 166-198 admission of children per year

KENYA
Coast Province General Hospital, Mombasa: 1985-86 admitted 73 children

ANGOLA
Neves Bedinha Hospital, Luanda: 7230 in/out patients in 36 months

NORTHERN NIGERIA
Ahmadu Bello University Teaching Hospital: +- 40 children of age annually

IVORY COAST 
Teaching Hospital of Cocody: 1993+-195 children less than 15 years","Varies (e.g., Malawi: 24-bed burn unit; Angola: 42-bed burn unit; Ivory Coast: 5-bed burn unit)","Malawi 1;
Cote D'Ivoire 1",Yes (in some countries),Yes,NA,No,Yes,NA,NA,NA,NA,NA,NA,unspecified,General and/or plastic surgeons manage pediatric burns in tertiary hospitals,unspecified,Often lacking; shortage of trained anesthetists reported,unspecified,Limited training; reluctance to treat burn patients due to stigma,unspecified,Traditional healers play a significant role in burn care,NA,"University teaching hospitals, rural clinics, traditional medicine",NA,Ghana: 6.1% in children 0-5 years; Ethiopia: 5% in children 0-9 years,Ghana: 57.4 per 1000 person-years in children aged 18–23 months,NA,NA,Angola: $100/year for food and care; Kenya: $5/day per patient
Sub-Saharan Africa,"Alayande B., Chu K.M., Jumbam D.T., et al.",22-Jun,Disparities in Access to Trauma Care in Sub-Saharan Africa: a Narrative Review,Other: Narrative review,01/2010 - 07/2021,Secondary data collection from PubMed and EMBASE databases,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27 studies,NA,NA,NA,NA,NA
Uganda,"Ajiko M.M., Weidman V., Nordin P., et al.",22-Jan,Prevalence of Paediatric Surgical Conditions in Eastern Uganda: A Cross-Sectional Study,Cross sectional study,08/2019 -10/2019,Primary data collection,"""Health and Demographic Surveillance site in Iganga and Mayuge Districts""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"""This cross-sectional study was carried out at the Health and Demographic Surveillance site in Iganga and Mayuge Districts (I/M HDSS) in Eastern Uganda... The I/M HDSS is a geographically defined area where births, deaths, cause of deaths and population migration have been regularly monitored since 2005 at this surveillance site.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""The interview was performed with 1581 children, and 1054 were physically examined.""",NA,NA,NA,NA,NA
Uganda,"Ajiko M.M., Kressner J., Matovu A., et al.",21-Jun,"Surgical procedures for children in the public healthcare sector: A nationwide, facility-based study in Uganda",Other: Retrospective record review,2013 - 2014,Operating theatre logbooks (2013–2014),"29 public hospitals across Uganda (1 National Referral Hospital, 14 Regional Referral Hospitals, 14 General Hospitals)","""The catchment populations between the GHs, RRHs and NRH overlap as they are meant to provide services of increasing complexity. The GHs and the RRHs were designed for a catchment population of 500 000 people 
and two million people, respectively, but these hospitals cover much larger populations now due to rapid population growth. """,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,logbooks,"275 total (103 specialists, 57 residents, 115 medical officers)","""The surgical procedures were performed by 275 medical doctors... 103 specialist surgeons... 57 resident surgeons... 115 medical officers without specific training in surgery.""","117 total (18 physician anesthetists, 99 anesthetic officers)","""Anaesthesia was administered by 18 physician anaesthetists and 99 anaesthetic officers.""",NA,NA,Includes interns and anaesthetic assistants,"""Of the specialists, 40 performed surgery at the NRH and 61 at the RRH. Only two specialist surgeons performed surgical procedures at a GH.""",NA,NA,8238 children (after imputation),"22.0 major surgeries per 100,000 pediatric population annually

Rate of surgical consultation need = 7,400 per 100,000 children;
Rate of surgical intervention need = 562–873 per 100,000 children;
Rate of children operated in study hospital = 22.0 per 100,000 children; 
Rate of surgical procedures in Central Uganda = 25.5 per 100,000 children;
Rate of surgical procedure in Eastern Uganda = 20.5 per 100, 000 children;
Rate of surgical procedure in Northern Uganda = 12.0 per 100, 000 children; 
Rate of surgical procedure in Western Uganda = 27.7 per 100, 000 children",NA,Not directly reported; references 6.8% from non-traumatic MSK and 11% from trauma globally,NA,NA
Nigeria,"Ajike S.O., Adebola R.A., Efunkoya A., et al.",13-Jan,Epidemiology of adult cleft patients in North-western Nigeria: Our experience,Other: retrospective study,01/2008 - 12/2010,Case files,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,"""The case files of these 
79 patients were analyzed for the types/site of clefts, laterality, age, sex, method of anesthesia and the surgical repairs. The data extracted are presented""",NA,NA,NA,NA,NA,NA,NA,NA,NA,"""smile train and the Grasssroot Smile Initiative (GSI)""",79 patients,NA,NA,NA,NA,NA
Nigeria,"Ajao A.E., Adeniran J.O.",21-Dec,Spectrum of paediatric surgical cases in a private mission teaching hospital in Nigeria,Cross sectional study,03/2016 - 06/2019,Medical records,Private Mission Teaching Hospital,"""Our institution is a 220‑bedded mission‑owned teaching hospital located in the southwestern part of Nigeria serving a total population of about 836,520 people according to projections from the 2006 National Census.""",220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336 patients,NA,NA,NA,NA,NA
Nigeria,"Ahachi C.N., Fadeyibi I.O., Abikoye F.O., et al.",17-Sep,"The socioeconomic impact of burns in Lagos, Nigeria: a one-year prospective study",Other: Prospective observational study,06/2007 - 05/2008,"Patient interviews, hospital records, questionnaires","National Orthopaedic Hospital, Igbobi, Lagos (Public tertiary hospital)",NA,NA,unspecified,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not specified,57.6% managed by burn specialists; 40.4% by general practitioners,NA,NA,Not specified,"Provided wound care, hygiene, and assisted with procedures",Physiotherapists and lab technicians,NA,NA,NA,52 patients,NA,NA,NA,"""The average cost per patient per day was N8,855""",NA
