title_3,author,date_of_publication,aim_of_the_study,general_category_of_pathology,specific_pathology,main_study_findings,health_system_barrier,health_system_description,financial_barrier,financial_description,geograhic_accessibility_barrier,geograhic_accessibility_description,sociocultural_barrier,sociocultural_description,patient_related_barrier,patient_related_description,policy_governance_barrier,policy_governance_description,education_training_barrier,education_training_description,other_barrier,other_description_100
"The burden of intentional injuries in Mwanza City, north-western Tanzania: A tertiary hospital survey","Phillipo L. Chalya, Japhet M. Gilyoma",12-Jul,"""This study aimed at providing local data
regarding the magnitude of the problem, contributing factors, pattern of injuries and
outcome of these patients. This data provides basis for establishment of prevention
strategies as well as treatment guidelines""",trauma,"Interpersonal violence, self-inflicted injuries, head/neck trauma, long bone fractures, soft tissue injuries","23.7% of trauma patients had intentional injuries; most injuries occurred at home; alcohol involved in 67.2% of cases; mortality rate 13.3%; complications in 15% of patients; soft tissue injuries most common

""In conclusion, this study showed that intentional injuries are an emerging but neglected epidemic in Mwanza City and have become a major cause of morbidity and mortality among young males in a society where resources for pre-hospital and hospital trauma care are limited, and interpersonal violence mainly criminal and domestic violence are the major causes of these injuries. Poverty, lack of education, unemployment, alcohol and substance misuse and unequal distribution of wealth have found to be responsible for increasing incidence of intentional injuries in our environment.""",lack of advanced hospital care,"""Lack of advanced pre-hospital care and ineffective ambulance system""",direct costs,"""Only 63 (3.8%) of the victims had definable source of private or governmental health care insurance at the time of their injury."";
""The average amount of hospital bill for each patient in the present study was US$ 305 which is 9.2 times the official urban poverty income for Mwanza city (US$ 33.3 per month). A person whose income is below the poverty line would have to set aside all his household income for at least 9 months just to pay the average hospital bill.""",NA,NA,NA,NA,NA,NA,lack of data to inform policies,"""Public policy responses muted due to lack of local data""",NA,NA,NA,NA
Congenital malformations in neonates admitted to a neonatal intensive care unit in a low-resource setting,"Cavaliere E., Trevisanuto D., Da Dalt L., et al.",21-Apr,"""Our purpose was to provide a first description of the burden of CMs in the neonatal intensive care unit (NICU) of a tertiary referral center in Mozambique and to identify unmet treatment needs.""",congenital malformations,"Abdominal wall defects, Club foot, Macrodactyly, Polydactyly, Cleft lip and palate, Frontonasal dysplasia","""Our findings showed a 3% rate of infants with CMs, with a mortality rate of 50%, among those admitted to the NICU of Beira Central Hospital in Mozambique."" 

""The highest mortality was observed in musculoskeletal, gastrointestinal, cardiovascular congenital malformations (CMs) or MCA.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epidemiology and Management of Pediatric Fractures in Malawi,"Cassidy B.P., Yeramosu T., F.J. Mbomuwa",24-Jul,"""Therefore, our aim was to identify demographic, fracture, and health system navigation characteristics associated with surgical and nonsurgical treatment of children with fractures seen at two rural district and two urban central hospitals in Malawi.""",trauma,fractures,"""Most Malawian children with fractures are treated nonsurgically, including many who may benefit from surgery. There is a need to increase surgical capacity, optimize referral patterns, and standardize fracture management in Malawi.""

""Despite open fractures benefiting from débridement, 13% of open fractures did not receive débridement. At district hospitals >95% of open fractures were débrided, but it was at central hospitals where 14% of patients did not undergo débridement, indicating a potential need at central hospitals for standardized practices according to published guidelines.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Burn management in sub-Saharan Africa: opportunities for implementation of dedicated training and development of specialty centers,"Calland J.F., Holland M.C., Mwizerwa O., et al.",13-May,"""In an effort to establish the determinants of gaps in the availability and capacity for burn care in sub-Saharan Africa the foregoing work was conducted – specifically, to establish whether lack of capacity was due to gaps in personnel, supplies, or equipment.""",burns,burn management,"- ""Whereas all surveyed hospitals were theoretically equipped to handle the initial resuscitation of burn patients, none of the hospitals were capable of delivering comprehensive care due to gaps in equipment, personnel, protocols, and training."";
- ""Accordingly, steps to improve capacity to care for those with thermal injury should include training of physicians specialized in critical care and trauma surgery, as well as plastic and reconstructive surgery.""",human resource shortages,"- ""We found that specialist availability was limited to referral hospitals, and that medical officers at district hospitals lacked the necessary basic skills to care for these injuries."";
- ""...the limiting factor of burn treatment capability is the presence of physicians with the proper training and treatment protocols.""",NA,NA,referral vs. district hospital disparities,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orofacial Clefts at Bugando Medical Centre: Associated Factors and Postsurgical Complications,"Buyu Y., Manyama M., Chandika A., et al.",11-Jul,To determine factors associated with orofacial clefts and postsurgical complications of cleft lip and palate repair surgeries in northwestern Tanzania.,congenital malformation,"Cleft lip, cleft palate, cleft lip and palate","Family history and birth order were significantly associated with orofacial clefts. Postsurgical complications were more common in patients who had surgery after 20 months of age.

""Family history of orofacial clefts and order of birth were significantly
associated with orofacial clefts in northwestern Tanzania. These factors have been associated
with risk of orofacial clefts elsewhere and suggest a hereditary role in the etiology of orofacial
cleft. Palatal fistula and philtrum dehiscence were postsurgical complications observed in
orofacial clefts patients who had primary surgery past the recommended age. ""","No presurgical procedures, delayed surgery",“None of these patients had presurgical procedures… because of the unavailability of materials necessary for these procedures.”,NA,NA,NA,NA,NA,NA,Late presentation,“These guidelines are rarely adhered to at our center because some of the patients present late.”,NA,NA,Limited expertise and follow-up,"“Because of limitations in expertise and duration of follow-up, some of these aspects were not evaluated.”",NA,NA
Epidemiology of pediatric surgical needs in low-income countries,"Butler E.K., Tran T.M., Nagarajan N., et al.",17-Mar,"""We evaluated the surveys within these countries to quantify the pediatric surgical need and identify predictors of treated surgical conditions.""","congenital malformations, burns, trauma",injuries; wounds; burns,"""Overall, there is a high burden of unmet surgical need in the pediatric population of these countries. Nearly 20% of children had a surgical need, and 62% of those children had at least one unmet surgical need. Extrapolating these estimates to the current pediatric populations in the four countries equates to an estimated 3.7 million children in need of surgical care."";
""Given the large burden of pediatric surgical conditions in LMICs, scale-up of services for children is an essential component to improve pediatric health in LMICs.""",human resource shortages,"""In our study, unmet pediatric surgical needs were highest in Sierra Leone, a country with no pediatric surgeons and a surgical physician density of 0.18 per 100,000 people."";
""Similarly, 17% of children in Uganda had a surgical need but reside in a country with 4 practicing pediatric surgeons and a surgical physician density of 0.73 surgeon physicians per 100,000 people."";
""Similar conclusions can be drawn for Nepal and Rwanda, countries with fewer than 1 surgical physician or pediatric surgeon per 100,000 people.""",direct costs; indirect costs,"""No money for healthcare or transport""",rural vs. urban disparities,"""In addition to provider shortages, there is also a maldistribution of the surgical workforce with most of the doctors concentrated in urban areas. This contributes to a lack of access to surgical care for children due to lengthy travel and poor road conditions. In our study, 78% of children lived in rural areas, highlighting the great need to increase access in remote areas throughout LMICs.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pilot study of a population-based survey to assess the prevalence of surgical conditions in Uganda,"Butler E.K., Tran T.M., Fuller A.T., et al.",15-May,"""The aim of our study was to pilot SOSAS in a periurban district in Uganda in preparation for a full-country study. Our main goals were to (1) adapt SOSAS to a Ugandan context, (2) estimate the prevalence of untreated surgical conditions for purposes of calculating sample size for the full survey, and (3) identify and mitigate logistical challenges.""","tumors, burns, infections, trauma",NA,"""Of 96 participants, 6 (6.3%; 95% CI, 2.3–13.1) had an existing, untreated surgical condition. The lifetime prevalence of surgical conditions was 26% (25/96)."";

""In this setting, the current prevalence of surgical conditions was nearly 1 in 10 persons, and lifetime occurrence was high, at 1 in 4 persons. Addressable challenges led to question revisions and a change in the data collection platform. A full-country study is both feasible and necessary to characterize the met and unmet need for surgical care in Uganda.""",Limited local surgical capacity,"“Most conditions were treatable at lower-level facilities, but access was still limited.”",direct cost,"""Of the 6 respondents in our pilot study with untreated surgical conditions, 4 stated they could not afford the direct cost of health care."";
""The most common barrier to access to care was lack of financial resources.""",Remote and hard-to-reach areas,"“One EA was on an island in Lake Victoria, with extremely limited access to health care.""",NA,NA,Home treatment preference,“Some chose to treat wounds at home with traditional methods.”,NA,NA,NA,NA,NA,NA
"Quantifying the pediatric surgical need in Uganda: results of a nationwide cross-sectional, household survey","Butler E.K., Tran T.M., Fuller A.T., et al.",16-Sep,"""The objective of this study was to determine the pediatric burden of surgical disease in Uganda, both treated and untreated, to inform future efforts in improving pediatric
surgical care""","Trauma, wounds, congenital deformities, acquired deformities and burns",NA,"""The predominant cause of surgical conditions was trauma (48.4%), followed by wounds (19.7%), acquired deformities (16.2%), and burns (12.5%)."" 

""Of pediatric respondents, 305 (14.0%) reported having a surgical condition at some point in their life, of which 51.1% were untreated (156; 7.2% of total).”

""Although some trauma-related surgical burden among children can be adequately addressed at district hospitals, the need for diagnostics, human resources, and curative services for more severe trauma cases, congenital deformities, and masses outweighs the current capacity of hospitals and trained pediatric surgeons in
Uganda.""

",Infrastructure limitations; human resource shortages,"""...and lack of available
personnel and equipment (16.1 %...""",Direct medical costs,"""Of those who sought care, but did not receive any,
the primary reasons were lack of money (57.1%)""",Transportation,"Reason for no care (among those who sought healthcare):
- No transport: 14.3% (8)

Reason for not seeking care: 
- No transport: 18.5%",Traditional healers,"""Of those who sought formal care, 19.7% sought care from a traditional healer.""",Perceived need for surgery; fear for surgery or anaesthesia; time,"""...no perceived need for surgical care (25.0 %)...""

""...Of those who did not seek care, the primary reasons included lack of money (51.1 %)""

Reason for no care (among those who sought healthcare):
- No perceived need: 25.0%
- Fear: 3.6%
- No time: 1.8% 

Reason for not seeking care:
- No perceived need: 28.3%
- Fear: 20.7%
- No time: 9.8%

",NA,NA,NA,NA,Social support,"Reason for no care (among those who sought healthcare):
- Lack of social support: 8.9% 

Reason for not seeking care:
- Lack of social support: 16.3%
"
Prevalence of orofacial clefts in Nigeria,"Butali A., Adeyemo W.L., Mossey P.A., et al.",14-May,"To describe the prevalence and characteristics of orofacial clefts in Nigeria.; To compare if there is a difference between unilateral clefts, differences between sex.",congenital malformations,"cleft lip, cleft palate, cleft lip and palate",Prevalence of OFC was 0.5 per 1000 live births; more unilateral left clefts than right; cleft palate more common in females,Incomplete cleft care teams,“No speech pathologists... few orthodontists... no clinical geneticists.”,NA,NA,limited number of centers,"""The difference in the number of clefts per center is due to the area of coverage and access to care. For instance, the center in Kano is the largest center in the Northwest, and this center has a mobile cleft treatment unit that provides care to satellite villages in and around Kano. Therefore, there is better access to care, which may account for the number of OFC recorded in Kano during the study period.""",NA,NA,NA,NA,No national birth defect registry,“Supports the need for a well-established surveillance system.”,Lack of specialized professionals,“Gap in expertise... no clinical geneticists... no speech pathologists.”,Underdiagnosis of subtypes,“Underascertainment of submucous clefts due to lack of follow-up.”
The Met Needs for Pediatric Surgical Conditions in Sierra Leone: Estimating the Gap,"Mesas Burgos C., Bolkan H.A., Bash-Taqi D., et al.",17-Sep,"""The aim of this study was to define and describe the
nationwide provision of pediatric surgery in Sierra Leone,
how much is performed, where and by whom. Further, we
aimed to assess pediatric hernia repair as a proxy indicator
for the provision of surgery in the pediatric population in
Sierra Leone and to estimate the unmet need for hernia
repair""",Pediatric surgical procedure,"Trauma-related conditions, neonatal surgical conditions, cleft lip, Inguinal hernia, appendicitis, fractures","""The rate of pediatric surgical procedures in Sierra Leone was 84 per 100,000 inhabitants 0–15 years of age (Table 1). The rate of surgery was higher in boys than in girls in all age-groups (p<0.001). ""

""A total of 59% (1400) of the pediatric procedures were performed by specialist surgeons; of those, 42% (1002) were performed by a foreign surgical provider.""

""One-third of all the pediatric procedures were performed in a single private nonprofit hospital and 40% by non-Sierra Leonean providers. This highlights the lack of domestic capacity for pediatric surgery.""

""The countrywide unmet pediatric surgical needs for inguinal hernia repair were calculated to be in the range of 88% in the pediatric population.""
",Dependence on NGO,"""One-third of all the pediatric procedures were performed in a single private nonprofit hospital and 40% by non-Sierra Leonean providers. This highlights the lack of domestic capacity for pediatric surgery.""",Indirect cost,"""The main barrier to access surgical care in Sierra Leone is financial, where indirect cost such as travel is a major contributor.""",NA,NA,Delayed health seeking behavior,"""Delayed health-seeking behavior at a patient level, limitations in infrastructure, and workforce shortages all contribute to the limited number of surgical procedures performed among Sierra Leonean children.""",NA,NA,NA,NA,NA,"""A task-shifting program started in Sierra Leone in 2011, where community health officers with 3 years of basic medical education and 2 years of clinical experience received 3 years of essential surgical training, but pediatric surgical capacity remains inadequate.""",NA,NA
"The burden of trauma presenting to the government referral hospital in Freetown, Sierra Leone: An observational study","Bundu I., Lowsby R., Vandy H.P., et al.",18-Jul,"""The aim of this study was to assess the volume of trauma presenting to the national referral hospital in order to focus resources, direct training and lobby for improved preventive measures.""","trauma, injury, burns","Road traffic injuries, falls, assaults, burns","Trauma accounted for 11.6% of EC visits and 68% of surgical admissions; road traffic accidents were the leading cause;

""Injury accounts for a high burden of disease at Connaught Hospital and consumes a significant proportion of EC and hospital resources. Efforts should be directed towards strengthening the pre-hospital and emergency trauma systems with accurate, formal data collection as well as targeting injury prevention initiatives and improving road safety to reduce morbidity and mortality."";

""We found that road traffic accidents were the most common cause of injury overall, followed by falls and then assaults."";

""Burns were the fourth most common reason for presentation and third most common cause of injury in children but no burns surgery was carried out due to lack of surgical facilities."";

""The head and lower limbs were the most commonly injured body parts in patients admitted to the surgical and trauma wards.""",infrastructure limitations; human resource shortages,"""Burns were the fourth most common reason for presentation and third most common cause of injury in children but no burns surgery was carried out due to lack of surgical facilities."";
""Surgical capacity at the hospital was severely diminished during the Ebola outbreak which may explain the small number of surgical procedures carried out in this study. The hospital employed 8 surgeons prior to the epidemic, 3 of whom died and during the peak of the epidemic, surgery rates fell to 3% of pre-Ebola levels. At the time of data collection, surgical activity was still limited and there is currently only 1 paediatric surgeon based in the city with no burn surgery equipment available."";
""Significant barriers to accessing care exist including inadequate num-
bers of trained staff, lack of money to pay for treatment or transport to
health facilities as well as lack of trust in the facilities.""",indirect costs; direct costs,"""Significant barriers to accessing care exist including inadequate numbers of trained staff, lack of money to pay for treatment or transport to health facilities as well as lack of trust in the facilities.""",transportation issues,"""The large majority of patients arrive at hospital on foot or by public transport.""",NA,NA,lack of trust,"""Significant barriers to accessing care exist including inadequate numbers of trained staff, lack of money to pay for treatment or transport to health facilities as well as lack of trust in the facilities.""",NA,NA,Need for trauma care training,Need for training and system strengthening mentioned,lack of formal registries,"""There is currently no funding available for a formal trauma registry in Sierra Leone and the pre-hospital service is in the early stages of development."""
Pediatric emergency and essential surgical care in Zambian hospitals: A nationwide study,"Bowman K.G., Jovic G., Rangel S., et al.",13-Mar,"To identify the range of pediatric surgery available, the barriers to provision, and level of safety of surgery performed for the entire pediatric population in Zambia","Congenital anomalies, trauma, infections, burns",NA,"""The primary limitation to providing pediatric surgical care in Zambia is lack of surgical skills. Minimum safety standards were met by 14% of hospitals. Efforts to improve pediatric surgery should prioritize teaching surgical skills to expand access and providing safety training, equipment and supplies to increase safety.""; 

""There were statistically more pediatric surgeons, general surgeons and anesthesiologists in urban areas than in rural (p < 0.001 for all specialists).""; 

""There were 289 operations per 100,000 children, and urban areas had more than twice the number of operations per capita compared with rural areas.""",infrastructure limitations,"""Lack of surgical skill was cited as the primary reason for referral in 72% of cases, compared with 24%, 2% and 3% due to lack of equipment, supplies and anesthesia skills, respectively (p < 0.001).""",indirect costs,"""The difficult terrain in many parts of the country and expense of travel cause referrals to place a large burden on patients and hospitals. This limits access to surgical care for much of the population, and often the only feasible and affordable option for surgery is the local facility.""",transportation issues; physical distance; rural vs. urban disparities,"""Climate extremes render some parts of the country impassable due to annual rains that create flood plains and cause severe damage to roads. As a consequence, travel is very difficult, expensive and time consuming, which in turn limits both the supply chain to rural hospitals and patient transport."";
""Zambia has 1.4 hospitals per 10,000 km2, and on average the population must travel about 100 km to reach a surgical facility."";
""There were statistically more pediatric surgeons, general surgeons and anesthesiologists in urban areas than in rural (p < 0.001 for all specialists).""; 
""There were 289 operations per 100,000 children, and urban areas had more than twice the number of operations per capita compared with rural areas.""",NA,NA,NA,NA,NA,NA,lack of surgical skill,"""Lack of surgical skill was cited as the primary reason for referral in 72% of cases, compared with 24%, 2% and 3% due to lack of equipment, supplies and anesthesia skills, respectively (p < 0.001)."";
""Lack of surgical skill was the limiting factor for 93% of procedures specific to children, for 64% of pediatric-relevant general surgical procedures, and for 51% of trauma procedures, and was statistically the most common reason for referral for all three procedural categories (p < 0.001 for each category).""",unmet surgical safety standards,"""Our evidence is that surgery providers are willing to improvise with available equipment to perform surgery, even if safety is compromised, as long as they have confidence in their skills."""
"Access to Burn Care in Low- and Middle-Income Countries: An Assessment of Timeliness, Surgical Capacity, and Affordability in a Regional Referral Hospital in Tanzania","Botman M., Hendriks T.C.C., de Haas L. E. M., et al.",22-May,"The study investigates patients’ access to surgical care for burns in a low- and middle-income setting by studying timeliness, surgical capacity, and affordability.",Burns,"Acute burns, contractures after burn injury","TIMELINESS
•	50% of burn wound patients reached a healthcare facility within 24 hours.
•	74% of patients referred from another facility arrived at the regional hospital within 3 weeks.
•	Barriers to timely access included lack of trust, lack of money, and reliance on traditional healers (consulted by 33% of burn wound patients first).
SURGICAL CAPACITY 
•	53% of burn wound patients initially sought care at another facility, where 95% received only conservative treatment (fluids, pain medication, antibiotics, and dressings), and only 1 patient (5%) received surgical debridement.
•	Among contracture patients, 70% never received surgical care or a referral, despite clear indications for skin grafting.
•	At the referral hospital, 75% of burn wound patients and 100% of contracture patients required surgery. However, 26% of burn wound patients who needed surgery did not receive it.
AFFORDABILITY
•	Only 25% of burn patients and 26% of contracture patients had their cost covered by health insurance.
•	The mean hospital fee was $378 for burn patients and $167 for contracture patients.
•	Given an average household daily income of $0.73, the cost of care exceeded the catastrophic health expenditure threshold by 6 times for contracture patients and 15 times for burn patients.
•	Many families sold land and livestock to pay for care, yet 45% of hospital bills remained unpaid.

",referral system; infrastructure limitations,"Weak referral systems. 70% of contracture patients were never referred for surgical care despite needing it;

No care available at Haydom Lutheran Hospital (HLH), healthcare facilities including several district-level hospitals rarely provide surgical treatment for burn patients;

Some patients consulted another healthcare facility before coming to HLH;

Other facilities frequently lacked consistency in the use of antibiotics, pain medication, fluid resuscitation, and/or dressing.",indirect costs,"Burn care is unaffordable for most patients;

Families often sell land and livestock to afford care;

The mean hospital fee was $378 per patient for the burn group and $167 per patient for the contracture group;

No money for healthcare or transport, hospital patient fees exceed catastrophic health expenditure threshold, most patients could not accomplish micropayments;

Surgical care was unaffordable for majority of patients (mean daily budget of families of patient $0.73 for burn group and $0.70 for contracture group)",physical distance; transportations issues,"“Seven burn patients did not visit a healthcare facility within 24 hours; some delayed up to 49 days due to lack of transport and money.”; 

Difficulties accessing transportation to health care;

Time to reach health facility: one day (median 1, IQR 0-1 days) for burn group, 650 day (range 410-1566) for contracture group",stigma and cultural beliefs,"Visit traditional healers first;

Traditional beliefs about burns lead to delayed care-seeking;

Preference for traditional means for treating illness and injury (usually first option)",perceived need for surgery; fear,"No trust/fear to access hospital, believed it would heal without hospital care;

Lack of trust in surgical care prevents some patients from accepting treatment",NA,NA,training gaps,Study provided twice-yearly surgical training program time to improve skills and equipment for burn care,NA,NA
Injuries and their related household costs in a tertiary hospital in Ghana,"Blankson P.K., Nonvignon J., Aryeetey G., et al.",20-Apr,"To determine the associated patient costs of reported injury cases at the Accident and Emergency Department of the Korle-Bu Teaching Hospital (KBTH) in Accra, Ghana.",injuries,road traffic injuries; occupational injuries; sport injuries; domestic violence; assault/interpersonal violence; play; falls; burns,"""The total annual household cost of injuries to patients who attended KBTH was US$11,327,461.96, of which 82% was the direct cost."";

""The average household cost of all injuries was US$ 1276.15."";

""All injuries recorded some level of high intangible cost but was exceptional for burns."";

""The highest average cost of injuries was accrued by traffic injuries (US $1687.65), and burns (US$1676.36), with respective average direct cost components of US$1289.40 (81.7%) and US$1370.63 (84%)."";

""Regarding the components of direct cost, the average out-of-pocket expenditures on the surgical procedures and medication metted out were US$ 588.12 ± 1053.08 and US$ 238.33 ± 318.29 respectively."";

""Food and travel costs on the other hand accrued averages of US$ 58.91 ± 160.10 and US$ 78.02 ± 191.15 respectively.""

""Injured patients incur high direct treatment cost in all aetiology, with generally high intangible cost as well. It is therefore imperative that injury prevention strategies be prioritized in national health policies, while broader discussions continue on sustainable health financing of injury management.""",NHIS doesn’t fully cover injury costs,"“Though the benefits package of the NHIS includes injuries and emergencies, this study shows that it does not provide full financial protection to patients and their households who incur high health care costs due to severe injuries.”",High out-of-pocket costs,"“The average household cost of injuries was about US$1276, which is equivalent to the annual household income in 2014–2017.”",NA,NA,NA,NA,NA,NA,insufficient financial government support,"""Though the benefits package of the NHIS includes injuries and emergencies, this study shows that it does not provide full financially protection to patients and their households who incur high health care costs due to severe injuries.""",NA,NA,NA,NA
Need for paediatric surgery care in an urban area of The Gambia,"Bickler S.W., Telfer M.L., Sanno-Duanda B.",3-Apr,"""To estimate the need for paediatric surgery care in an urban area of The Gambia.""",trauma; congenital malformations; surgical infections,NA,"46% of children required surgery; 68% of procedures were minor; cumulative risk of surgical condition by age 15 was 85.4%

""The most important finding in our study was that surgical problems were common in the paediatric population living in Banjul. During our I year study 5.3% of children living in Banjul sought care for a surgical problem. Injuries (67.1%), congenital anomalies (15%), and surgical infections (6.7%) were the most common surgical problems.""",Limited surgical infrastructure,“Limited resources at the hospital often prevented required cases from being done.”,Low-income setting,“Per capita income is US$320 per year.”,Lack of data from rural areas,“There have been no population-based estimates of paediatric surgical diseases reported from West Africa.”,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epidemiology of paediatric surgical admissions to a government referral hospital in the Gambia,"Bickler S.W., Sanno-Duanda B.",2000,"""This study aimed to characterize the clinical epidemiology, burden, and diagnostic spectrum of paediatric surgical admissions to a national referral hospital in The Gambia, with a focus on informing child health priorities in sub-Saharan Africa.""",pediatric surgical conditions (trauma; burns; injuries; congenital malformations; neoplasms),"Burns, Soft tissue injuries, Burn contractures, Cleft lip and palate, Chronic osteomyelitis, Abscesses and Pyomyositis","""A wide spectrum of surgical conditions affect African children. The majority of patients, however, fall into three major diagnostic categories — injuries, congenital anomalies, and surgical infections. In our series, these three diagnostic categories accounted for almost 90% of paediatric surgical admissions."";
""Our data show clearly that injuries are the most serious surgical problem affecting African children, accounting for the largest number of admissions, the greatest number of hospital days, as well as being the leading cause of surgical deaths.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Implementation of a pediatric trauma registry at a national referral center in Kenya: Utility and concern for sustainability,"Bhatia M.B., Keung C.H., Hogan J., et al.",24-Apr,"""This study aimed at filling the gap in knowledge of pediatric trauma and assessing the implementation of a trauma surveillance registry at Shoe4Africa (S4A), the only public free-standing children’s hospital in East Africa. ""","trauma, burns","falls, burns, foreign body ingestions","Toddlers had higher risk of burns and poisoning; 56.2% required operations; registry implementation limited by staff and funding

""The effectiveness of the trauma registry within the hospital system did not appear to outweigh the costs of implementation. Due to costs and limited personnel, the registry was not maintained by local stakeholders although a clinical stakeholder attempted to convince hospital admin­istration to support the registry."";

""Maintenance of the trauma registry failed due to cost. Streamlining global surgery efforts through imple­mentation science may allow easier development of trauma registries to then identify modifiable risk factors to prevent trauma and long-term outcomes to understand associated disability.""","Staff shortages, lack of equipment",“Healthcare workers were unable to initiate most forms due to scarcity of personnel and burden of clinical duties.”,indirect costs,"“Registry cost $20,000; not sustainable without external funding.”;
""Patients may not have presented to S4A because of the financial burden of transportation, the lack of timely transportation or difficult road conditions.""""",transportation issues,"""Another limitation in presentation is the burden of travel, a known barrier, as most of the patients who presented to S4A relied on family or friends for transport. Patients may not have presented to S4A because of the financial burden of transportation, the lack of timely transportation or difficult road conditions.""",Preference for traditional healers,“Some patients did not seek care due to preference for traditional healers.”,NA,NA,lack of transportation services; lack of pre-hospital care,"""The lack of a national emergency trans­portation service and pre-hospital care may also have led to increased pre-hospital mortality, particularly from distant counties.""",Limited training in trauma data collection,“Limited training in trauma data collection among staff.”,NA,NA
Pattern of maxillofacial surgical conditions in North Central Nigeria: A 5-year experience of an indigenous surgical mission,"Bello S.A., Osodin T., Oketade I., et al.",17-Oct,“The aim of this study is to describe the pattern of oral and maxillofacial surgical conditions as seen at surgical outreach programs in different locations of the North Central zone of Nigeria.”,"trauma, congenital malformations, neoplasms, Noma, burn","Noma
facial clefts
Keloids
Neurofibroma
Lipoma
Ameloblastoma
Fibro-osseous lesions","""The spectrum of surgical conditions: facial clefts 492(57.0%); tumor and tumor-like lesions 126(15.2%),trauma 6(0.7%), and others 48(5.5 %).""

“Facial clefts 492 (57.0%) of 863 total patients”

""A total of 622(77.4) cases were operated within the study period with immediate jaw reconstruction in 5(0.8%) patients. Minor complications were recorded but there was no mortality.""

""... the present study recorded more than half (57%) of the patients being facial clefts, whereas the rest were tumor and allied lesions""

""The pattern of presentation of maxillofacial surgery diseases seen from the perspective of hospital-based and community-based surgical outreach programs gives a fair idea of the workload of a maxillofacial surgeons in Nigeria. With high degree of poverty, ignorance, and 
cultural beliefs, a large number of orofacial surgery cases may not visit hospital but will attend an outreach free surgical mission center following information by a trusted relative. A large number of the patients in the present study had not visited a hospital before. This fact explains the difference in pattern of presentation between hospital-based and community-based maxillofacial clinics. ""

"" Jaw reconstruction with vascularized bone graft, even though is the gold standard, it is still a mirage or at best at experimental stage in Nigeria""",Lack of facilities and trained personnel,"""In addition to this grossly inadequate manpower, the health insurance system is in its infancy of development with less than 5% total coverage and zero coverage for advanced surgeries such as facial tumor operations.""",NA,NA,Far settlements,“Many of our patients are from rural communities where treatment was not previously available... they could not attend regular hospital.”,NA,NA,Lack of self efficacy,“A large number of the patients in the present study had not visited a hospital before.”,Limited insurance coverage,"“Health insurance... less than 5% total coverage and zero coverage for advanced surgeries.""",NA,NA,NA,NA
Cleft & facial deformity foundation (CFDF) outreach model: 6 year experience of an indigenous Nigerian mission in the surgical correction of facial clefts,"Bello, S.A.,Balogun, S.A.,Oketade, I., et al.",02/2018,"""This study was conceived to document the experience of a local initiative for knowledge dissemination and reference among medical community, as well as sensitising the fast growing population of medical specialists in the developing world.""",Congenital malformations,Orofacial clefts,"""This model is an effective and efficient way of reaching out to the poor patients with orofacial cleft."" 

""Taking surgical mission to the grassroot rural population resulted in impressive attendance by adults who had already lost hope of access to surgery due to extreme poverty, superstition and ignorance.""

""Improved speech, self-worth, better psychological feelings and acceptance in the society have been reported by the patients as compared to their pre-surgery experience.""

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Demographic and clinical characteristics of keloids in an urban center in Sub-Sahara Africa,"Belie O., Ugburo A.O., Mofikoya B.O.",19-Aug,"""This study on the presentation, site, and associated symptoms of keloids from a plastic surgery clinic of a tertiary hospital in Lagos. Lagos is an urban cosmopolitan city in Nigeria, West Africa.""",trauma,keloids,"""In this study, it can be concluded that keloid is more common in the younger age group with slight female preponderance. Patients with first‑degree relation tend to have multiple keloids with larger size scars. Larger keloids, multiple keloids, those in the trunk, and associated with positive family history are more symptomatic."";
""In view of the burden of keloids, early treatment is advised. Unnecessary trauma and extra piercing should be avoided; elective surgeries that are deferrable should be postponed until when necessary.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
