title_3,author,date_of_publication,aim_of_the_study,general_category_of_pathology,specific_pathology,main_study_findings,patient_related_barrier,patient_related_description
Implementation of a pediatric trauma registry at a national referral center in Kenya: Utility and concern for sustainability,"Bhatia M.B., Keung C.H., Hogan J., et al.",24-Apr,"""This study aimed at filling the gap in knowledge of pediatric trauma and assessing the implementation of a trauma surveillance registry at Shoe4Africa (S4A), the only public free-standing children’s hospital in East Africa. ""","trauma, burns","falls, burns, foreign body ingestions","Toddlers had higher risk of burns and poisoning; 56.2% required operations; registry implementation limited by staff and funding

""The effectiveness of the trauma registry within the hospital system did not appear to outweigh the costs of implementation. Due to costs and limited personnel, the registry was not maintained by local stakeholders although a clinical stakeholder attempted to convince hospital admin­istration to support the registry."";

""Maintenance of the trauma registry failed due to cost. Streamlining global surgery efforts through imple­mentation science may allow easier development of trauma registries to then identify modifiable risk factors to prevent trauma and long-term outcomes to understand associated disability.""",NA,NA
Pattern of maxillofacial surgical conditions in North Central Nigeria: A 5-year experience of an indigenous surgical mission,"Bello S.A., Osodin T., Oketade I., et al.",17-Oct,“The aim of this study is to describe the pattern of oral and maxillofacial surgical conditions as seen at surgical outreach programs in different locations of the North Central zone of Nigeria.”,"trauma, congenital malformations, neoplasms, Noma, burn","Noma
facial clefts
Keloids
Neurofibroma
Lipoma
Ameloblastoma
Fibro-osseous lesions","""The spectrum of surgical conditions: facial clefts 492(57.0%); tumor and tumor-like lesions 126(15.2%),trauma 6(0.7%), and others 48(5.5 %).""

“Facial clefts 492 (57.0%) of 863 total patients”

""A total of 622(77.4) cases were operated within the study period with immediate jaw reconstruction in 5(0.8%) patients. Minor complications were recorded but there was no mortality.""

""... the present study recorded more than half (57%) of the patients being facial clefts, whereas the rest were tumor and allied lesions""

""The pattern of presentation of maxillofacial surgery diseases seen from the perspective of hospital-based and community-based surgical outreach programs gives a fair idea of the workload of a maxillofacial surgeons in Nigeria. With high degree of poverty, ignorance, and 
cultural beliefs, a large number of orofacial surgery cases may not visit hospital but will attend an outreach free surgical mission center following information by a trusted relative. A large number of the patients in the present study had not visited a hospital before. This fact explains the difference in pattern of presentation between hospital-based and community-based maxillofacial clinics. ""

"" Jaw reconstruction with vascularized bone graft, even though is the gold standard, it is still a mirage or at best at experimental stage in Nigeria""",Lack of self efficacy,“A large number of the patients in the present study had not visited a hospital before.”
Cleft & facial deformity foundation (CFDF) outreach model: 6 year experience of an indigenous Nigerian mission in the surgical correction of facial clefts,"Bello, S.A.,Balogun, S.A.,Oketade, I., et al.",02/2018,"""This study was conceived to document the experience of a local initiative for knowledge dissemination and reference among medical community, as well as sensitising the fast growing population of medical specialists in the developing world.""",Congenital malformations,Orofacial clefts,"""This model is an effective and efficient way of reaching out to the poor patients with orofacial cleft."" 

""Taking surgical mission to the grassroot rural population resulted in impressive attendance by adults who had already lost hope of access to surgery due to extreme poverty, superstition and ignorance.""

""Improved speech, self-worth, better psychological feelings and acceptance in the society have been reported by the patients as compared to their pre-surgery experience.""

",NA,NA
Demographic and clinical characteristics of keloids in an urban center in Sub-Sahara Africa,"Belie O., Ugburo A.O., Mofikoya B.O.",19-Aug,"""This study on the presentation, site, and associated symptoms of keloids from a plastic surgery clinic of a tertiary hospital in Lagos. Lagos is an urban cosmopolitan city in Nigeria, West Africa.""",trauma,keloids,"""In this study, it can be concluded that keloid is more common in the younger age group with slight female preponderance. Patients with first‑degree relation tend to have multiple keloids with larger size scars. Larger keloids, multiple keloids, those in the trunk, and associated with positive family history are more symptomatic."";
""In view of the burden of keloids, early treatment is advised. Unnecessary trauma and extra piercing should be avoided; elective surgeries that are deferrable should be postponed until when necessary.""",NA,NA
Surgical burn care in sub-saharan africa: A systematic review,"Botman M., Beijneveld J.A., Negenborn V.L., et al.",19-Jul,"""The aim of this review is to critically assess surgical care for burn injuries in sub-Saharan Africa, to evaluate current treatments, to identify gaps in knowledge and provide recommendations for quality improvements of burn in care in low resource settings. """,burns,NA,"""The lack of surgical burn care research in sub-Saharan Africa is evident: only 42 studies reported surgical data and the level of evidence of these studies is low (level 3–4). The information that could be subtracted from these studies was therefore very limited. A wide range of treatment strategies was observed and often essential information on parameters such as depth of burns, TBSA, timing of grafting and wound treatment were missing, indicating the absence of standardized burn care.""",NA,NA
Rural and urban differences in treatment status among children with surgical conditions in Uganda,"Bearden A., Fuller A.T., Butler E.K., et al.",18-Nov,"""The objective of the current study was to evaluate the relationship between rurality, surgical condition and treatment status among a cohort of Ugandan children.""",pediatric surgical conditions,NA,"""Our data suggest that over half of the children with a surgical condition surveyed are not receiving surgical care and a large majority of children with surgical needs were living in rural areas."";
""The most prevalent causes of surgical conditions reported among rural and urban children were masses (24.0% and 25.5%, respectively), followed by wounds due to injury (19.6% and 16.4%, respectively)."";
""Among children with untreated surgical conditions, the leading reason for not seeking surgical care among children living in both rural and urban areas was a lack of money (40.6% and 31.4%, respectively), and the leading reason for not receiving care in both rural and urban settings was a lack of money (48.0% and 42.8%, respectively).""",perceived need for surgery; fear of surgery or anesthesia,"""Urban areas also reported that a lack of social support (14.3%), no perceived need (14.3%), a lack of transportation (14.3%), and surgical care not being available (14.3%) as reasons for not receiving surgical care."";
""In rural areas, no perceived need (18.0%), no transportation (14.0%), surgical care not being available (8.0%), no social support (6.0%), fear (4.0%), and no time (2.0%) were all reported as reasons for not receiving surgical care."""
Barriers and prospects for skin grafting in burn treatment across African countries,"Bbaale D., Mohr C., Lindert J., et al.",24-Feb,"Provide in-depth insight into the state of skin grafting and the associated factors limiting the performance of this life-changing or even life-saving procedure of burn injuries in Africa. 

Contribute to an understanding of the challenges in the African region, as a prerequisite for targeted improvement of burn care in resource-limited settings",Burns,NA,"The use of autologous skin grafts for burn wounds is not universally available in Africa, even though skin grafting is perceived to have an overall positive impact on patient outcomes. Negative effects include the risk of major blood loss and infection. In particular, the provision of sufficient equipment, sufficient funds to enable timely skin grafting independently of the patients means and a well-trained staff could be the key to strengthening overall acute burn care. In addition, committed teams to improving burn care and outcomes are essential.",NA,"""Some respondents perceived skin grafting to increase mortality (n = 7, 8.6%)."""
Prevalence and Severity of Burn Scars in Rural Mozambique,"Barba P., Neubauer D.C., Cossa M., et al.",22-Aug,"This study sought to quantify the prevalence of burn scars in three rural communities in Mozambique, qualify these injuries with a novel scar scale, and determine the proportion amenable to surgical intervention.",Burns,burn scars; contractures,"- ""Using our findings that more than 12% of burn scars could benefit from surgical correction, this estimates that more than 130,000 individuals across rural Mozambique could benefit from corrective burn scar surgery.""
- ""...our data show no significant difference between men and women in healthcare sought or received.""
- ""...age and burn location have a significant influence on healthcare seeking behavior. Individuals ages 0–4 years, 5–14 years, and 25–45 years sought care at a significantly higher rate than individuals older than 45 years of age. Similarly, individuals reporting a burn to the face, head or neck were more likely to seek treatment than those who reported a burn to the chest or extremities.""
- ""...highlights the importance of burn prevention strategies, such as safe cooking practices, in global burn care.""
- ""Most patients whose burn scars could benefit from surgical care had just received dressings for their injuries, and less than 15% reported a previous surgery.""",perceived-need for surgery,"""Of the minority that did not receive formal healthcare (105, 30%), ‘‘No need’’ was the most common response (42, 12%)..."""
Recurrence of post burn contractures of the elbow and shoulder joints: experience from a Ugandan hospital,"Balumuka D.D., Galiwango G.W., Alenyo R.",15-Sep,"""The purpose of this study was to determine the frequency of recurrence of PBC of the shoulder and the elbow joint three months after surgical intervention and the associated risk- factors""",burns,post-burn contractures (PBC),"-""Recurrence of PBC of the elbow and shoulder joint is a common problem. The risk factors should be kept in mind during management of PBC to reduce the recurrence rate.""
- ""Patients who were initially burnt by flame, have contractures for more than one year, have involvement of both the shoulder and elbow joint, and/or have incomplete release of contracture during surgery, are at an increased risk for recurrence.""",NA,NA
Patterns and management outcome of paediatrics burn in a general surgical department: experience from a secondary referral hospital,"Bakhiet M.Y., Koko M.B.A., Gismalla M.D., et al.",23-Mar,"""This study aims to report on the incidence, etiological factors, treatment and outcome of paediatric burns treated by a general surgeon in a secondary referral (not burn or paediatrics specialised hospital) in Sudan.""",burns,"Scald burns, flame burns, and electrical burns among paediatric patients","""The management of burns in Elobied Teaching Hospital overall has a satisfactory outcome where there are no plastic surgery services as well as acting paediatric surgery unit. More than 80% of the patients recovered completely and 7% of them  were referred to a plastic surgery center for further management."";
""The mortality rate in our series is 5.9%, which was significantly affected by the mean  percentage of TBSA.""",NA,NA
Presentation of Pediatric Unintentional Injuries at Rural Hospitals in Rwanda: A Retrospective Study,"Bagahirwa I., Mukeshimana M., Cherian T., et al.",20-Sep,"""This study describes patterns, management, and outcomes of children 0–15 years presenting with unintentional injuries at three district hospitals in rural Rwanda between January 1 and December 31, 2017.""",trauma; burns,fractures; Soft tissue injuries; Burn related infection; Animal related injuries,"""Pediatric unintentional injuries constitute a great threat to children in rural Rwanda. We found that children are affected by preventable injuries such as falls, road traffic accidents and burns. Although most injured children were treated at district hospitals, we found absence and/or poor recording of vital signs, which may hinder injury management."";
""However, more needs to be done to improve the completion and documentation of vital signs and increase availability of surgical specialists. Finally, targeted strategies to prevent burns and motorcycle-related injuries are recommended prevention interventions for this rural population.""",NA,NA
Mortality Pattern in Surgical Wards of a University Teaching Hospital in Southwest Nigeria: A Review,"Ayoade B.A., Thanni L.O., Shonoiki-Oladipupo O.",12-Dec,“The objectives of this study were to determine the prevalence of deaths associated with surgical care in both operative and nonoperative surgical patients. We also compared our results with those of other published studies to identify areas of improvement in which surgical patient care could be improved.”,trauma; burns; cancer; infections,NA,"""The surgical mortality rate over the 6-year period of this study was 5.08 %, which is relatively low compared to other reports from Africa, although values of crude surgical mortality rates are not a true reflection of hospital quality of service."";

""The pattern of surgical mortality is not directly related to surgical procedures as most of the deaths occurred in the nonoperative care group. Trauma-associated deaths topped the list.""",late presentation; perceived need for surgery,"""Many factors are responsible for this situation, including late presentation, refusal of operative treatment, inability to pay for treatment, inadequate preoperative and postoperative care consequent to resource limitations ."";
""Many reasons have been adduced for this practice, including ignorance, poverty, and inaccessible and poor medical facilities."""
The orthopaedic needs of children in Rwanda: results from a national survey and orthopaedic service implications,"Atijosan O., Simms V., Kupe H., et al.",9-Dec,"""The aim of this paper is to use data from the national survey of MSI in Rwanda to estimate the prevalence and causes of MSI among children aged 16 years or less, and to use these data to estimate service needs for the country.""","Congenital malformations
Trauma
Acquired deformities","Polydactyly
Syndactyly
Club foot
Cleft lip/palate
Burn contracture
Angular limb deformity 
Bone tumor/swelling 
","""The key findings in this survey were that there is an overall prevalence of MSI in children of 16 years and under of 2.58%. This is similar in both sexes, and can be divided into different diagnostic categories, as shown the in Results section."";

""Twenty-three percent of MSIs were a result of congenital deformity, 14% neurologic conditions, 12% trauma, 3% infection, and 46% other acquired pathology. Of the MSIs, 56.7% were mild, 37.8% moderate, and 5.6% severe. Extrapolated treatment needs suggest that 2% of Rwandan children (approximately 80,000) need orthopaedic physical therapy, 1.2% (50,000) need orthopaedic surgery, and approximately 10,000 need orthopaedic appliances.""

""Of 4134 people aged 16 years or less who were enumerated, 3526 (85%) were screened and 91 had MSI, giving a prevalence of MSI among children of 2.58% (95% confidence interval; 2.06-3.10).""
",NA,NA
"A prospective study of burns trauma in children in the University of Calabar Teaching Hospital, Calabar, south-south Nigeria","Asuquo M.E., Ekpo R., Ngim O.",8-Jul,"""We present a 3-year report (February 2005 and January 2008) of this ongoing study in an attempt to provide information on the current epidemiology of burns in this centre, its morbidity and mortality profile as well as recommend appropriate measures for prevention and improved outcome of treatment.""",burns,"fluid burns, flame burns, chemical burns, electrical burns","""Education of the public on burns prevention based on the factors highlighted, establishment of burns support groups dedicated to publicity on prevention and provision of financial aid would sustain strategies when adopted.""",NA,NA
PATTERNS AND OUTCOMES OF PEDIATRIC BURN INJURIES IN A TERTIARY HOSPITAL's BURN UNIT,"Asefa L., Abebe M.W., Negussie A.G.",24-Feb,"""This study aims to evaluate the presentation patterns and manage­ment outcomes of paediatric burns at AaBET burn unit over the past four years.""",burns,NA,"""The most common causative agent of paediatric burn was scald, followed by flame. Children less than 5 years of age had the highest proportion of burn and the number of children who sustained a burn injury decreases as their age increases. Most commonly involved body part was the upper extremity.""",NA,“Most parents refuse insertion of nasogastric tube due to cultural reasons.”
Predictors of household direct cost of burn injury in adult patients at a tertiary healthcare facility in Ghana: an analytical cross-sectional study in Korle-Bu Teaching Hospital,"Aryee G., Aborbi V.M., Essuman R., et al.",24-May,"""This study sought to answer the following questions; what are the direct costs of burns care among adult patients, what demographic and clinical factors are associated with direct cost of burn care and if a suitable regression model exists which predicts the direct cost of burn care based on patients´ demographic and clinical characteristics?""",burns,NA,"- ""We found the direct costs of burns treatment to be high in this study, relative to the low income of majority of Ghanaians.""
- ""This study found surgical procedures and related materials, wound dressing  and medication costs contributed substantially to the total direct cost of burn care."";
- ""TBSA burn and length of hospital stay were found to be independent predictors of the direct cost of burns treatment.""",NA,NA
Challenges of anaesthesia in the management of the surgical neonates in Africa,Amponsah G.,10-Sep,"""Some of these challenges will be examined and highlighted using the acronym ""ASKS"" in this article. The challenges encountered in the anaesthetic management of the surgical neonates in Africa.""",Congenital malformations,"Exomphalous, bladder extrophy","""Very few hospitals have dedicated specialist paediatric/neonatal physician anaesthetists. The few generalist physician anaesthetists working in Africa have to be “all things to all men” and empower themselves with the skills and competencies required to handle a broad 
spectrum of complex surgical procedures, including neonatal emergencies.""",NA,NA
Epidemiology and outcomes of in-hospital acute burn-patients in Togo: A retrospective analysis,"Amouzou K.S., Kouevi-Koko T.E., Egbohou P., et al.",19-Jul,"""This study aimed at filling the gap in the real-time data about burns in Togo by assessing sociodemographic, clinical and outcome characteristics, causes and severity of burns of hospitalized patients for prevention programs.""",Burns,"Acute burn injuries caused by hot liquids, flames, electrical burns, and contact burns.","""Burns represented 2.1% of all admissions to the SED. Of the 1,843 burn patients, 497 (26.9%) were admitted to the ICU department, and 1,346 (73%) were treated as outpatients. The analysis included the complete folders of 211 patients.""

""Children were most affected in house-related accidents whereas adults had most fire burns with extended burned TBSA and associated injuries.""

""Burns were caused by hot liquids in 74.4% of children and in 13.4% of adults (p = 0.003), and by flames in 73.2% of adults and 19.4% of children (p = 0.001). The mean burned TBSA was 26.5% (range 3%–95%).""

""The mean burned TBSA was 26.5% (range 3%–95%). The overall burn-related mortality rate was 24.6%.""

""Medical treatments included fluid resuscitation and wound dressing. Surgical treatments included escharotomy (13.3%), skin grafts (11%), local flaps (1.4%), and amputations (4%). The overall burn-related mortality rate was 24.6%, with a higher mortality in adults (36.6%) compared to children (17%).""",NA,NA
"Prospective Outcomes of Noma Facial Reconstructive Surgery in Sokoto, Nigeria","Amirtharajah M., Olaleye M., Oluyide B., et al.",24-Apr,"""The purpose of this study was to prospectively assess whether there are meaningful improvements in clinician and PROs for patients with noma undergoing reconstructive surgery, using the NOITULP score and a PRO tool.""",noma,Noma (cancrum oris),"""There are improvements in clinician and PROs for patients with noma undergoing reconstructive surgery, however, the IRR of the NOITULP score was poor."";
""Since the IRR of the NOITLUP system was poor, its utility as an objective outcome measure is questionable, as is the validity of our risk factor analysis.""","Family approval, comorbidities etc","“Approximately half declined surgery for a variety of reasons (comorbidities, active malaria, pregnancy, farming seasons, and approval of the family).”"
"Trauma intensive care in a terror-ravaged, resource-constrained setting: Are we prepared for the emerging challenge?","Amaefule K.E., Dahiru I.L., Sule U.M., et al.",19-Feb,"""The objectives of this study were to determine the pattern of major trauma needing intensive care in the region, and to determine the outcome of major trauma admitted to intensive care unit.""",terrorism-related trauma,burns with or without inhalational injuries; penetrating injuries to the torso with visceral injuries; penetrating skull injury with evisceration of brain tissue; blunt injuries to the torso with visceral injuries; complete spinal cord injuries; fractures with cardio pulmonary complications; polytrauma involving combinations of the aforementioned injuries without brain injury,"""The unimpressive outcome recorded in this study, particularly amongst the burns patients, most of who sustained their injuries from explosions in a mass casualty scenario, and traumatic brain injured patients, lends credence to the need for implementation of a comprehensive trauma system including prehospital and emergency care with good ICU care anchored on well trained personnel and equipment in our region, especially in the face of increasing terrorism in our region.""",NA,NA
Global general pediatric surgery partnership: The UCLA–Mozambique experience,"Amado V., Martins D.B., Karan A., et al.",2017,"""The purpose of this study was to review the first 5-years of our global academic pediatric general surgery partnership. By systematically describing resource distribution and limitation, the spectrum of disease, operative case volume, and partnership activities, we hope to illustrate the challenges and accomplishments that can be expected of academic medical partnerships in other global health settings.""",Pediatric general surgery,"Burns (especially scald injuries)
Colorectal Disorders (Anorectal Malformation, Hirschsprung Disease)
Infections (Abscess, Cellulitis, Pyomyositis, Necrotizing Fasciitis)
Hernias/Hydroceles
Trauma (Abdominal, Extremity, Cranial, Animal Bites)
Urologic (Cryptorchidism, Hypospadias, Phimosis/Paraphimosis, Ambiguous Genitalia, Epididymitis)
Neoplasms (Tumors of Extremities, Torso, Neck, Wilms' Tumor, Ovarian Mass, Sacrococcygeal Tumor)
Appendicitis
Other (Rectal Prolapse, Intussusception, Rectovaginal Fistula)","""The most frequent discharge diagnosis was burns (n = 274), which accounted for nearly one quarter of the admissions.""

""Infections were the second most frequent diagnosis (n = 189) and included abscess, cellulitis, pyomyositis, and necrotizing fasciitis.""

""Trauma was the fourth most frequent discharge diagnosis (n = 156) and included abdominal, extremity, and cranial trauma, as well as animal bites.""

""Operative time, personnel, equipment, and resources were limited.""

 ""The general pediatric surgery service had limited operative block time (one and a half days per week).""

 ""Limited pediatric supplies were available in the operating room (e.g., neonatal pulse oximetry, endotracheal tubes). Pediatric laparoscopy was unavailable."" 

""Lack of dedicated pediatric operating room team and limited fine instruments and sutures were challenges to providing high-quality surgical care.""

""A shortage of ancillary service providers (nurses, dietitians, therapists, wound-care specialists) also limited our ability to provide comprehensive, coordinated care.""",NA,NA
"Paediatric musculoskeletal disease in Kumi District, Uganda: a cross-sectional survey","Alves K., Penny N., Kobusingye O., et al.",18-Mar,"""To estimate the burden of musculoskeletal disease among children treated in Kumi District, Uganda, to inform training, capacity-building efforts, and resource allocation.""",Musculoskeletal disorders,"Gluteal fibrosis, post-injection paralysis, infections, trauma, cerebral palsy, clubfoot, angular knee deformities","""We estimate that 50% of the surgical conditions could be prevented with policy changes and education regarding injection practices and early care for traumatic injuries, clubfeet, and infection. This study highlights a need to increase capacity to care for specific musculoskeletal conditions, including gluteal fibrosis, post-injection paralysis, infection, and trauma in the paediatric population of Uganda.""",Neglected conditions and delayed care,"""Earlier detection and treatment of clubfoot... could decrease the surgical need and costs to the country."""
"Utilising community volunteers can increase the detection and referral of Buruli ulcer cases in endemic communities in Southeast, Nigeria","Alo C., Okedo-Alex I.N., Akamike I.C., et al.",2022,"""The aim of this study is to determine the effect of training community members as volunteers on the detection and referral of people who have Buruli ulcer to the hospital""",infection,Buruli ulcer (Mycobacterium ulcerans infection),"Significant increase in BU case detection and referral post-intervention in all 3 LGAs

""We recommend that program managers and stakeholders integrate and scale up the services of trained community health volunteers for the rapid detection of Buruli ulcer cases in rural endemic communities. Awareness and sensitization campaigns on BU preventive measures should be intensified.""",NA,NA
[Keloid scars on black skin: myth or reality],"Allah K.C., Yéo S., Kossoko H., et al.",12-Feb,"""To analyze the outcomes in the management of 149 keloid tumor cases, and discuss the reality of keloids in Black individuals""",trauma,keloids,Keloids are more prevalent in Black African populations but not exclusive to them; recurrence rate was 100% in this series.,NA,NA
Potential economic benefit of cleft lip and palate repair in sub-Saharan Africa,"Alkire B., Hughes C.D., Nash K., et al.",11-Mar,"""The present study aimed to establish a methodology for valuing the potential economic benefit of surgical intervention using cleft lip and palate (CLP) in sub-Saharan Africa (SSA) as a model.""",congenital malformations,cleft lip; cleft palate,"- ""Cleft lip and cleft palate can have a substantial impact on the economic health of countries in the developing world.""
- ""Considering that CLP is one disease among many that could be treated if an initial investment in proper surgical infrastructure were made, the potential return on investment in surgery would be even more substantial if one factored in the relatively small marginal cost of treating additional surgical diseases.""
- ""Our data may provide support for the notion that surgical care is not only an essential component of horizontal health care in its own right, but also that any investment in surgical care, whether by foreign direct investment, governments, NGOs, or any other donor agency, can expect to generate positive returns on investment.""",NA,NA
"Assessment of emergency and essential surgical service in primary hospitals of South Gondar zone, Amhara region, Ethiopia, 2019","T.Y. Alemayehu, A.T. Boled, M.G. Taye, et al.",20-Feb,"""The objective of this study was to evaluate the capacity of emergency and essential surgical service in primary hospital facilities of south Gondar zone in Amhara regional state.""","trauma, burn, congenital malformations",NA,"""Discrepancies in infrastructure, human resources, service provision, and essential equipment and supplies demonstrate the significant gaps in capacity of hospitals to deliver emergency and essential surgical care and effectively addressing the increasing surgical burden of disease and injury in south Gondar zone primary hospitals""",NA,NA
"Management Outcome of Burn Injury and Associated Factors among Hospitalized Children at Ayder Referral Hospital, Tigray, Ethiopia","Alemayehu S., Afera B., Kidanu K.,et al.",20-Feb,"""The aim of this study was to assess the management outcome of burn injury and
associated factors among hospitalized children of under 18 years at Ayder Referral Hospital in Mekelle, Ethiopia""",burns,"Burn injuries : scald burns, flame burns, electrical burns, chemical burns, and contact burns.",NA,late presentation,"Late hospital presentation (after 24 hours) was associated with worse outcomes.

""Two hundred twenty-seven (59.4%) burn patients were present early (before 24 hours), and 155 (40.6%) burn patients were present lately."""
'We are all serving the same Ugandans': A nationwide mixed-methods evaluation of private sector surgical capacity in Uganda,"Albutt K., Drevin G., Yorlets R.R., et al.",19-Oct,"""We partnered with the MOH to conduct a nationwide stratified randomized mixed-methods evaluation of private and PNFP surgical capacity and barriers to the provision of surgical care in Uganda""","Surgical, obstetric, and anaesthesia conditions","Obstetric emergencies, trauma, general surgery, orthopedic conditions","""Private and PNFP hospitals in Uganda face cross-cutting challenges to delivering timely,
affordable, and effective surgical care. Pervasive workforce shortages and workforce maldistribution, high medical and non-medical costs of seeking care and lack of financial risk protection, and poor coordination of care are challenges of unique importance in these sectors. In addition to financial resources and infrastructure development, SOA workforce scale-up is highlighted as an urgent need. Historically, little attention has been paid to understanding and improving the capacity of the private and PNFP sector which must be a critical component of ongoing capacity building efforts going forward. Critical policy and programmatic developments are essential to coordinate and strengthen Ugandan surgical capacity""",Delayed presentation,“Patients delay seeking care due to cost and transport.”
Delays to Surgery and Coronal Malalignment Are Associated with Reoperation after Open Tibia Fractures in Tanzania,"Albright P.D., Ali S.H., Jackson H., et al.",20-May,"""We sought to answer: (1) Which patient demographic, perioperative, and treatment characteristics are associated with an increased risk of reoperation after treatment of open tibia shaft fractures with intramedullary nailing or an external fixation device in Tanzania? (2) Which patient demographic, perioperative, and treatment characteristics are associated with worse 1-year quality of life after treatment of open tibia shaft fractures with intramedullary nailing or an external fixation device in Tanzania?""",trauma,open fracture,"""We identified two potentially modifiable factors, delays to surgical treatment and postoperative coronal varus angulation, that are associated with increased reoperation risk after treatment of open tibia shaft fractures with intramedullary nailing or external fixation at a tertiary care center in Tanzania. Furthermore, we identified that higher severity
injuries including extended wound length, bone loss, and muscle loss result in poorer 1-year quality of life in patients with these injuries. These findings are particularly relevant in the study setting where treatment delays are common.""",NA,NA
Paediatric burn injuries in Sub Saharan Africa-an overview,"Albertyn R., Bickler S.W., Rode H.",5-Dec,"""This paper reviews the available information on the epidemiology of paediatric burns in Africa, associated health problems and contributing environmental factors responsible for these burns.""",burns,"Pediatric burns (scalds, flame, chemical, electrical)","Pediatric burns are common, largely preventable, and poorly managed due to lack of infrastructure, training, and resources; traditional medicine plays a significant role

""Childhood burns are largely preventable. This survey has highlighted the important factors contributing to the high prevalence of burns and the reasons for the high prevalence of burns and the reasons for the significant incidence of
morbidity and mortality. Active social and medical intervention must be initiated. Standard protocols and public policies around prevention, education and research
must become an integral part of public health.""","Malnutrition, delayed presentation","""Fatalities often occurred in malnourished burned children who were in many instances only weaned between ages 18 months and 3 years."""
Disparities in Access to Trauma Care in Sub-Saharan Africa: a Narrative Review,"Alayande B., Chu K.M., Jumbam D.T., et al.",22-Jun,"""This review will guide equitable engagement by policymakers, advocates, surgical colleges, donors and volunteers, and organizations whose work in trauma care straddles SSA.""",trauma,NA,"""Most... SSA countries have underdeveloped trauma systems. Inequity in access can be reduced by prehospital initiatives, as used in Ghana, and community-based insurance, as modelled by Rwanda. Across SSA, the largest geographical gaps in trauma care are presumably in central Africa, francophone West Africa, and conflict regions of East Africa.""

""District hospitals are more poorly equipped and manned, and dedicated trauma centers, blood banks, and intensive care facilities are largely located within cities and in southern Africa.""",NA,NA
Prevalence of Paediatric Surgical Conditions in Eastern Uganda: A Cross-Sectional Study,"Ajiko M.M., Weidman V., Nordin P., et al.",22-Jan,"""The present aim was to define the burden of surgical conditions, the prevalence of unmet surgical need and the level of disability caused by these conditions in children in a defined population in eastern Uganda.""",Paediatric Surgical Conditions,"Epigastric hernia, phimosis, cryptorchidism, upper and lower extremity abnormalities, hydrocephalus, club foot, cleft lip, Tetralogy of Fallot, amniotic band syndrome, hydrocele, genitalia abnormality, cystic hygroma, ankyloglossia, wounds, back injury, skin conditions (skin tag), infectious conditions, discharging sinus, growth, intraabdominal masses, lipoma, rectal prolapse, nasal polyp, eye conditions (congenital cataract), dermoid cysts","""Surgical conditions in children are common in eastern Uganda. The unmet need for surgery is high. With a growing population, the need for paediatric surgical capacity will increase even further. The health care system must be reinforced to provide services for children with surgical conditions if United Nations Sustainability Development Goal 3 is to be achieved by 2030.""",NA,NA
"Surgical procedures for children in the public healthcare sector: A nationwide, facility-based study in Uganda","Ajiko M.M., Kressner J., Matovu A., et al.",21-Jun,"""This study investigated the surgical services for children at the highest levels of the public healthcare 
sector in Uganda. The aim was to determine volumes and types of procedure performed and the patients and the human resource involved."";

""To investigate volumes and types of paediatric surgery performed at the highest level hospitals in Uganda, to relate that to the need for surgery in the paediatric population and to describe the human resource delivering the services.""","Congenital anomalies, infections, trauma, burns, malignancies",NA,"Only 4.9–7.6% of estimated surgical need met; task shifting common; most surgeries for congenital anomalies, infections, trauma

""A variety of paediatric surgical procedures are performed in a relatively decentralised system 
throughout Uganda. Task shifting and task sharing of surgery and anaesthesia are widespread: a large 
proportion of surgical procedures was carried out by non-specialist physicians, with anaesthesia mostly delivered by non-physician anaesthetists.""",NA,NA
Epidemiology of adult cleft patients in North-western Nigeria: Our experience,"Ajike S.O., Adebola R.A., Efunkoya A., et al.",13-Jan,"""To review cleft lip and palate procedures over a three-year (2008-2010) partnership between the smile train and our organization, the Grasssroot Smile Initiative (GSI).""",congenital malformations,orofacial cleft,"""he incidence of adult patients with orofacial cleft is not rare in our community, probably due to limited access to specialized health care facilities, poverty and ignorance. Furthermore, some of these patients are not aware that these facial defects can be repaired. The advent of the smile train organization and free services has resulted in this harvesting phenomenon.""

""In our study, a male predominance in all the age groups was observed.""",percieved need for surgery,NA
Spectrum of paediatric surgical cases in a private mission teaching hospital in Nigeria,"Ajao A.E., Adeniran J.O.",21-Dec,"""This study aimed to describe the pattern and outcomes of paediatric surgeries in a newly established paediatric surgical unit in Nigeria.""",Paediatric surgical cases,"
cleft lip/palate; neoplasms","""Congenital conditions are the most common reason for surgery in children in our centre. Surgical infections contributed the most to mortality in this paediatric surgical group representing a major burden of surgical care. There is, therefore, the need to focus research on CAs and surgical infections in Nigeria and by extension, sub‑Saharan Africa. Children surgery should form an essential and integral part of public health programmes designed for childcare in our region.""",NA,NA
"The socioeconomic impact of burns in Lagos, Nigeria: a one-year prospective study","Ahachi C.N., Fadeyibi I.O., Abikoye F.O., et al.",17-Sep,"""We conducted a study to examine the socioeconomic impact of burns in Lagos, Nigeria and the factors that influence this. We hope this study will assist clinicians, policy makers and health administrators in improving the funding of burn care, improve the healthcare system and encourage dissemination of burn prevention information with the goal of reducing the burden on burn patients and their families""",burns,flame; scald; chemical; electrical,88.5% lost man-hours; 74% returned to work/school; 50% dissatisfied with appearance; 26.9% desired cosmetic surgery,"Late presentation, complications","""Some of the procedures were carried out to correct the complications that developed during the acute phase management."""
